"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","ko00630","Glyoxylate and dicarboxylate metabolism","8/46","82/4257",0.0975609756097561,9.02863202545069,7.67197792425596,1.9342817661406e-06,8.52944686761203e-05,6.98317287406833e-05,"K00382/K01847/K01433/K02437/K00605/K00024/K07248/K03781",8
"Metabolism","Metabolism of cofactors and vitamins","ko00785","Lipoic acid metabolism","5/46","22/4257",0.227272727272727,21.0326086956522,9.84485322533738,2.70776091035303e-06,8.52944686761203e-05,6.98317287406833e-05,"K03644/K00382/K02437/K00605/K11381",5
"Metabolism","Amino acid metabolism","ko00340","Histidine metabolism","5/46","29/4257",0.172413793103448,15.955772113943,8.44554058861082,1.1540800279282e-05,0.000242356805864922,0.000198420776731515,"K01745/K01712/K01468/K00603/K01590",5
"Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","5/46","36/4257",0.138888888888889,12.8532608695652,7.46394656585363,3.46269375443418e-05,0.000545374266323384,0.000446505247282303,"K00382/K01433/K00603/K02437/K00605",5
"Metabolism","Metabolism of cofactors and vitamins","ko00780","Biotin metabolism","3/46","17/4257",0.176470588235294,16.3312020460358,6.61918995223917,0.000722364029756771,0.00910178677493531,0.00745175525433301,"K01935/K00833/K00652",3
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","8/46","250/4257",0.032,2.96139130434783,3.34050159502136,0.00470251830873959,0.0493764422417657,0.0404251573909193,"K00382/K01847/K01057/K02437/K00036/K00605/K00024/K03781",8
