"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Membrane transport","ko02010","ABC transporters","203/1835","381/4257",0.532808398950131,1.2360574138042,4.20261903221685,1.82793268448528e-05,0.000329027883207351,0.000250138156824302,"K09812/K02073/K09817/K09815/K02037/K17073/K10823/K10562/K01998/K16785/K17320/K16787/K09811/K16786/K02018/K02020/K02072/K02040/K01997/K10561/K17319/K01996/K02071/K10439/K17318/K10112/K11071/K02038/K02010/K10117/K11072/K11070/K02011/K03523/K10559/K17076/K01995/K10119/K02017/K01999/K10441/K09816/K02012/K02036/K10118/K10440/K19350/K02041/K11069/K10542/K02042/K02044/K15555/K17074/K10541/K10545/K17215/K10540/K15582/K09691/K18889/K15580/K15583/K11051/K15581/K18890/K11050/K02424/K09693/K09692/K15587/K02008/K15585/K15586/K15584/K10201/K10200/K10824/K05847/K20461/K20459/K05845/K05846/K20460/K12372/K17213/K10546/K05814/K10547/K05815/K10548/K15552/K02006/K02007/K15770/K09690/K19310/K02000/K15553/K16963/K16961/K02001/K15600/K15598/K02045/K15771/K15772/K10543/K20492/K17235/K05813/K02048/K10188/K10193/K10194/K10190/K16960/K17236/K10192/K10189/K17234/K11959/K11963/K11960/K11961/K11962/K10555/K10556/K10558/K10557/K17214/K18231/K16959/K11085/K10039/K15554/K10041/K05816/K16958/K10040/K17242/K17241/K17243/K20490/K10241/K06726/K02047/K10009/K10537/K10539/K17206/K10551/K10549/K10010/K10202/K19349/K06857/K17316/K09696/K02065/K02471/K02067/K02066/K12368/K15576/K02064/K06073/K09688/K07091/K09969/K10111/K12541/K13895/K10001/K09970/K11076/K18895/K09972/K02002/K10107/K05685/K09810/K09689/K11606/K11605/K17204/K11073/K11720/K06159/K17203/K10007/K10005/K10008/K10006/K10242/K16784/K09697/K16012/K20344/K02046/K11953/K16014/K17246",203
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","151/1835","275/4257",0.549090909090909,1.2738310626703,4.08629960255814,3.1397928941399e-05,0.000518065827533083,0.00039385121391404,"K01938/K00868/K00954/K01950/K00969/K02231/K00287/K01885/K09903/K01591/K00939/K03639/K02233/K00763/K00949/K00858/K01491/K11753/K04487/K00382/K00768/K11754/K01937/K05979/K03637/K00652/K03644/K00059/K03151/K00600/K03800/K00831/K02189/K02224/K00762/K00789/K02188/K02232/K06042/K01939/K03394/K00826/K05936/K08310/K00595/K02226/K00859/K01756/K00606/K02227/K01012/K00610/K17828/K01465/K02823/K09680/K03150/K00609/K01916/K06897/K01809/K03525/K00012/K05895/K01845/K01599/K00128/K04032/K00077/K02190/K01077/K14654/K01935/K00833/K00793/K01955/K02372/K01918/K00941/K03809/K14652/K09458/K03147/K00794/K11752/K01956/K00878/K00788/K13038/K01579/K01495/K00796/K00002/K19221/K13940/K05884/K03707/K00097/K02496/K06215/K03149/K00278/K02302/K21064/K05934/K03183/K01633/K07130/K12234/K03750/K13542/K03186/K00767/K08681/K03148/K03517/K01698/K01195/K06989/K01749/K02304/K02492/K01919/K02619/K00963/K00950/K01737/K02551/K09882/K09007/K09698/K08679/K03185/K02858/K08281/K00647/K01911/K20861/K08680/K01920/K03184/K00208/K18800/K03179/K03342/K01664/K14153/K02548/K00226/K00946/K02549",151
"Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","61/1835","97/4257",0.628865979381443,1.45890053091379,3.97914290525852,5.73950067645257e-05,0.00087417010302893,0.000664573762536614,"K01571/K01679/K01006/K00925/K00873/K00382/K00625/K03737/K01610/K00016/K00627/K00027/K03778/K00175/K00656/K01678/K01677/K01960/K01895/K00174/K00626/K15024/K18118/K01958/K01759/K01596/K00128/K01962/K01963/K01961/K00169/K01026/K02160/K00001/K00171/K00170/K13954/K01649/K00172/K00002/K12972/K00161/K04072/K01512/K00244/K01905/K00162/K00132/K00121/K07248/K22212/K00245/K01595/K00024/K04021/K03777/K13953/K01638/K00138/K11263/K13788",61
"Metabolism","Biosynthesis of other secondary metabolites","ko00521","Streptomycin biosynthesis","11/1835","11/4257",1,2.31989100817439,3.81483881146865,9.38491538348708e-05,0.0013272951756646,0.00100905481190876,"K01092/K00845/K01835/K00973/K00844/K01790/K00067/K01710/K00010/K15778/K01858",11
"Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","35/1835","50/4257",0.7,1.62392370572207,3.86244232494176,0.000101568197739086,0.00134070021015594,0.00101924577380276,"K00266/K01915/K01914/K00820/K01779/K01424/K00262/K00259/K01953/K00812/K01939/K01755/K01940/K01756/K00610/K01425/K00764/K00609/K19244/K01955/K07250/K11358/K01956/K00294/K14260/K00278/K00135/K01744/K00261/K01580/K00260/K08324/K00823/K00265/K00813",35
"Environmental Information Processing","Membrane transport","ko02060","Phosphotransferase system (PTS)","37/1835","54/4257",0.685185185185185,1.58955495004541,3.7946633223352,0.000131707450219847,0.00162987969647061,0.00123908982772619,"K08483/K00882/K02768/K02793/K19508/K02786/K02760/K19509/K02761/K02795/K02759/K02769/K02770/K02794/K02777/K02796/K02822/K02774/K02773/K02775/K02745/K02747/K02744/K02821/K03475/K02746/K02814/K02798/K02782/K17466/K17465/K17467/K19507/K10985/K02812/K10984/K02813",37
"Human Diseases","Drug resistance: antimicrobial","ko01502","Vancomycin resistance","15/1835","17/4257",0.88235294117647,2.04696265427152,3.76447569377558,0.000155279144090149,0.00180854532528526,0.00137491749875488,"K01929/K01000/K01775/K02563/K01921/K18346/K07260/K18349/K08641/K18344/K18348/K18350/K18866/K18856/K18345",15
"Cellular Processes","Cell motility","ko02040","Flagellar assembly","35/1835","51/4257",0.686274509803922,1.5920820644334,3.70223629297165,0.000190564085083528,0.00209620493591881,0.00159360609163418,"K02424/K03092/K02390/K02422/K02389/K02416/K02396/K02398/K02407/K02417/K02406/K02412/K02421/K02413/K02557/K02556/K02409/K02387/K02418/K02392/K02419/K02408/K02388/K02405/K02420/K02401/K02410/K02414/K02411/K02400/K02397/K02399/K02386/K02425/K02393",35
"Metabolism","Carbohydrate metabolism","ko00030","Pentose phosphate pathway","40/1835","61/4257",0.655737704918033,1.52124000536025,3.5687546614442,0.000306557393065312,0.00319465072773325,0.00242868183979721,"K00850/K00948/K01810/K01808/K01783/K01839/K11529/K00615/K01835/K01619/K21071/K01625/K00874/K00852/K01624/K04041/K01621/K00851/K08094/K07404/K00033/K00616/K00895/K11214/K01807/K03738/K02446/K15778/K00034/K17466/K17465/K17467/K15916/K17468/K00036/K03841/K01057/K01623/K16370/K06859",40
"Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","44/1835","70/4257",0.628571428571429,1.45821720513819,3.36434640670095,0.000624727244479381,0.00586582564589373,0.00445939961383734,"K03075/K03205/K03070/K03106/K03210/K03076/K03110/K03073/K03217/K03072/K12257/K03074/K03118/K02456/K03116/K02454/K03425/K11904/K11891/K03199/K11892/K11903/K11906/K03194/K11907/K02460/K13301/K02457/K02458/K04058/K03203/K03195/K02452/K03201/K02453/K02459/K03225/K03204/K03196/K03222/K02462/K02461/K03200/K03229",44
"Metabolism","Metabolism of other amino acids","ko00450","Selenocompound metabolism","18/1835","23/4257",0.782608695652174,1.81556687596256,3.41334231271374,0.0006336466556336,0.00586582564589373,0.00445939961383734,"K14155/K01874/K12527/K00548/K01008/K00384/K01761/K11717/K12528/K01739/K01042/K00957/K01760/K00549/K07309/K07310/K00955/K00956",18
"Metabolism","Amino acid metabolism","ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","30/1835","44/4257",0.681818181818182,1.58174386920981,3.3759359496116,0.000651758405099303,0.00586582564589373,0.00445939961383734,"K00800/K01735/K01736/K00014/K06209/K03786/K04517/K03856/K14170/K00812/K06001/K01626/K00832/K01817/K00891/K11358/K00817/K04518/K01657/K01609/K01658/K01695/K01696/K00766/K03785/K13497/K13498/K04092/K13829/K00813",30
"Metabolism","Carbohydrate metabolism","ko00040","Pentose and glucuronate interconversions","38/1835","59/4257",0.64406779661017,1.49416709001062,3.3266750622181,0.000734182601697069,0.00606697413989888,0.00461231952156055,"K03077/K01804/K01628/K01783/K00854/K01818/K00848/K01812/K01805/K00008/K03079/K00012/K00065/K00853/K00002/K01686/K00040/K16849/K16850/K08323/K05352/K00041/K01685/K21030/K01629/K01051/K01195/K01815/K08092/K08322/K01730/K00963/K03078/K00880/K13877/K21681/K21619/K01728",38
"Metabolism","Carbohydrate metabolism","ko00630","Glyoxylate and dicarboxylate metabolism","50/1835","82/4257",0.609756097560976,1.41456768791121,3.29917923574703,0.000761784737199142,0.00606697413989888,0.00461231952156055,"K01681/K00282/K01915/K11529/K00382/K00018/K00605/K01647/K02437/K00284/K01091/K00600/K01846/K01625/K04835/K00283/K01895/K19268/K00865/K05825/K00626/K00123/K03781/K17865/K05606/K01847/K00104/K01816/K00042/K12972/K00048/K07130/K03779/K03780/K01601/K00023/K07248/K07246/K00122/K01848/K01659/K00024/K01608/K01638/K11263/K00127/K19312/K01433/K14446/K00015",50
"Metabolism","Carbohydrate metabolism","ko00051","Fructose and mannose metabolism","52/1835","86/4257",0.604651162790698,1.40272479564033,3.28374386979863,0.000796673371905913,0.00606697413989888,0.00461231952156055,"K00850/K00847/K01808/K01813/K00068/K01628/K01818/K00848/K01803/K19956/K21071/K01805/K00008/K00882/K00009/K01624/K04041/K01809/K01218/K00844/K01711/K03332/K00971/K02377/K02768/K02793/K16881/K00895/K19355/K01629/K15856/K02795/K02769/K02770/K02794/K02796/K17195/K02814/K02798/K02782/K02446/K00881/K15778/K12660/K01840/K15916/K02812/K03841/K22252/K02813/K01623/K16370",52
"Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","52/1835","86/4257",0.604651162790698,1.40272479564033,3.28374386979863,0.000796673371905913,0.00606697413989888,0.00461231952156055,"K00761/K00876/K01487/K03784/K00943/K21636/K00942/K01951/K00088/K09903/K00760/K00939/K00945/K13479/K11751/K01493/K00560/K00857/K01937/K01129/K01489/K08722/K00756/K00759/K00087/K01520/K01486/K03816/K03465/K00757/K01488/K01939/K03787/K01756/K02825/K03783/K06928/K01494/K01081/K00526/K01239/K10213/K01485/K00525/K11178/K01241/K00758/K08723/K11177/K13480/K00364/K00856",52
