"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","ko03060","Protein export","15/1184","25/4257",0.6,2.15726351351351,3.60184331353935,0.000725968709768371,0.00505385909492597,0.00373271360893049,"K03106/K03073/K03076/K03217/K03070/K03075/K03101/K03110/K03210/K03100/K12257/K03116/K03118/K03072/K03074",15
"Metabolism","Metabolism of other amino acids","ko00450","Selenocompound metabolism","14/1184","23/4257",0.608695652173913,2.18852820211516,3.54726278992766,0.000896532867260771,0.00601009070274813,0.00443897365076483,"K01874/K00384/K00548/K14155/K11717/K01008/K00956/K00957/K01739/K00549/K12527/K01042/K01761/K01760",14
"Metabolism","Carbohydrate metabolism","ko00020","Citrate cycle (TCA cycle)","25/1184","52/4257",0.480769230769231,1.72857653326403,3.28087157881529,0.00139853263274237,0.00904051451879889,0.00667720467512335,"K01681/K01647/K00031/K01610/K03737/K00239/K01678/K01677/K00240/K01958/K00177/K00174/K00176/K00030/K00175/K00244/K00170/K01960/K00169/K01679/K01902/K01903/K18118/K01596/K00172",25
"Metabolism","Carbohydrate metabolism","ko00051","Fructose and mannose metabolism","37/1184","86/4257",0.430232558139535,1.546875,3.17989354979799,0.00158783176238511,0.00975940805042282,0.00720816994709915,"K01803/K01808/K01624/K00850/K04041/K00847/K01809/K00848/K02768/K21071/K00882/K01629/K00008/K01818/K01813/K01628/K02795/K02377/K01711/K02793/K02794/K02796/K00971/K03332/K01840/K00895/K02770/K01218/K02798/K19956/K02769/K00009/K00844/K19355/K17195/K00068/K02782",37
"Metabolism","Amino acid metabolism","ko00290","Valine, leucine and isoleucine biosynthesis","11/1184","17/4257",0.647058823529412,2.3264606518283,3.40119306345131,0.00161758144482146,0.00975940805042282,0.00720816994709915,"K00052/K01704/K01649/K00826/K01653/K01703/K00053/K01652/K01687/K01754/K14260",11
"Metabolism","Amino acid metabolism","ko00300","Lysine biosynthesis","19/1184","37/4257",0.513513513513513,1.84630661066472,3.20898546892613,0.00197745221093454,0.0115457693606178,0.00852755282813875,"K01586/K00215/K00821/K00928/K01714/K01778/K01929/K00133/K01928/K10206/K00003/K03340/K00290/K01439/K05825/K12524/K00674/K05822/K00841",19
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","90/1184","250/4257",0.36,1.29435810810811,2.97736251845844,0.00222134586915097,0.0125644875723851,0.00927996465072936,"K01803/K01810/K00927/K01689/K01783/K00948/K01681/K00873/K00134/K01491/K01808/K01624/K01752/K00297/K00058/K01738/K00925/K01938/K00615/K01647/K00831/K00031/K00850/K00845/K01610/K00600/K00640/K15633/K03737/K00625/K01625/K01754/K01006/K00018/K00874/K21071/K00616/K00239/K02160/K01962/K01961/K00027/K01678/K01677/K00074/K00926/K15635/K00240/K00626/K07404/K01958/K00177/K01834/K01895/K00174/K00176/K00030/K00175/K00244/K00170/K01960/K00169/K15024/K01079/K01963/K05606/K00033/K00198/K06859/K14534/K01715/K01807/K01848/K00248/K01679/K01902/K00844/K01903/K00123/K00283/K18118/K00282/K11529/K03738/K00172/K18120/K01595/K00140/K00261/K00034",90
"Metabolism","Glycan biosynthesis and metabolism","ko00541","Biosynthesis of various nucleotide sugars","33/1184","77/4257",0.428571428571429,1.54090250965251,2.97284043140644,0.00300797570174865,0.0164982909701971,0.0121854199082003,"K00067/K01710/K00973/K01790/K00012/K01791/K03270/K01639/K02377/K01711/K04042/K03271/K00979/K00971/K06041/K01627/K00978/K01709/K00963/K10012/K03273/K19180/K02474/K13018/K01654/K02472/K03272/K13017/K18431/K18430/K18429/K02473/K13015",33
"Genetic Information Processing","Replication and repair","ko03440","Homologous recombination","20/1184","41/4257",0.48780487804878,1.75387277521424,3.01047529635329,0.00333190438209985,0.017690498633982,0.0130659687497279,"K06187/K03629/K02340/K03584/K02343/K02338/K02341/K03553/K04066/K02335/K07462/K03550/K03551/K02337/K03655/K03111/K01159/K03581/K03763/K02342",20
"Metabolism","Nucleotide metabolism","ko00230","Purine metabolism","48/1184","122/4257",0.39344262295082,1.41459902525476,2.88380450415825,0.00342081465297994,0.017690498633982,0.0130659687497279,"K01933/K00939/K21636/K00088/K01923/K00948/K01756/K01951/K00760/K01835/K01939/K01945/K01588/K01952/K00942/K03816/K00759/K00764/K01129/K00602/K11175/K00951/K03783/K01839/K01515/K00525/K01524/K01486/K01488/K07816/K00926/K01119/K00956/K00957/K03784/K03787/K01081/K08289/K01487/K00526/K00087/K13479/K01239/K08722/K11751/K01589/K01466/K01768",48
"Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","32/1184","75/4257",0.426666666666667,1.53405405405405,2.89613774889031,0.00375857885902384,0.0188972992634254,0.0139572957630417,"K00052/K01704/K01649/K00821/K00145/K00826/K01653/K01681/K01703/K00928/K00930/K00133/K00053/K01652/K01687/K01647/K00031/K03737/K00620/K11358/K00177/K14260/K00174/K00176/K00030/K00175/K00812/K00170/K00169/K01438/K05825/K00172",32
"Genetic Information Processing","Replication and repair","ko03430","Mismatch repair","17/1184","34/4257",0.5,1.79771959459459,2.89850836713679,0.00482974814885611,0.0236266058092691,0.0174502991438044,"K03657/K02340/K02343/K02338/K02341/K03602/K03572/K07462/K03601/K01972/K02337/K03555/K07456/K03111/K03763/K02342/K06223",17
"Metabolism","Amino acid metabolism","ko00220","Arginine biosynthesis","20/1184","43/4257",0.465116279069767,1.6722972972973,2.7500697451583,0.00657361238060513,0.0313111537076192,0.023126004773874,"K01956/K00821/K00145/K01915/K00930/K01755/K01940/K00262/K01955/K00611/K00620/K11358/K00926/K14260/K00812/K01438/K01476/K01478/K00260/K00261",20
"Metabolism","Lipid metabolism","ko00061","Fatty acid biosynthesis","14/1184","27/4257",0.518518518518518,1.8643018018018,2.79622746733913,0.00685628232960084,0.0316807556410389,0.0233989878825934,"K00059/K00645/K09458/K00648/K02371/K02372/K01897/K02160/K01962/K01961/K00208/K01963/K01071/K00647",14
"Metabolism","Lipid metabolism","ko00561","Glycerolipid metabolism","17/1184","35/4257",0.485714285714286,1.74635617760618,2.75179717348843,0.00700127196487047,0.0316807556410389,0.0233989878825934,"K00655/K00865/K07407/K00864/K08591/K03621/K00128/K03429/K00005/K00901/K05878/K05879/K19002/K07406/K13677/K11529/K19005",17
"Metabolism","Carbohydrate metabolism","ko00030","Pentose phosphate pathway","26/1184","61/4257",0.426229508196721,1.53248227735933,2.59984655398905,0.00871703155711182,0.038482505166762,0.028422670288914,"K01810/K01783/K00948/K01835/K01808/K01624/K00615/K00850/K01619/K01625/K04041/K01839/K00874/K21071/K00616/K00852/K07404/K01621/K00895/K00033/K06859/K01807/K11214/K11529/K03738/K00034",26
"Metabolism","Metabolism of terpenoids and polyketides","ko00900","Terpenoid backbone biosynthesis","16/1184","33/4257",0.484848484848485,1.74324324324324,2.6602433464471,0.00898633082790815,0.038726806663128,0.0286031081489808,"K00919/K00806/K00099/K03526/K01662/K01770/K13789/K00991/K03527/K00805/K00626/K02523/K12506/K03186/K13787/K00054",16
