"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","ko00650","Butanoate metabolism","10/122","75/4257",0.133333333333333,4.65245901639344,5.48109004665362,4.42932193214218e-05,0.00301193891385668,0.00256434427650337,"K18122/K00171/K00209/K01040/K01028/K01039/K00132/K00100/K01799/K18119",10
"Metabolism","Energy metabolism","ko00680","Methane metabolism","12/122","135/4257",0.0888888888888889,3.1016393442623,4.26200592111257,0.00041600125229067,0.0141440425778828,0.0120421415136773,"K00194/K00197/K00171/K03390/K03389/K03388/K08094/K02203/K00196/K14083/K11261/K05979",12
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","16/122","250/4257",0.064,2.23318032786885,3.4516749381938,0.00183259111284804,0.0415387318912223,0.0353657934058394,"K14138/K00194/K00197/K15023/K18122/K00171/K03390/K00209/K03389/K03388/K08094/K02203/K00196/K14083/K11261/K18119",16
